song_id,Title,Artist,artist_id,Album,Genre,Lyrics Composer
130,Oba Dutu E Mul Dine,Dushan Jayathilaka,109,,,
278,Oba Enna Aye,Bathiya n Santhush,79,,,
131,Oba Ha Mema Athinath Aran,T M Jayarathna,9,,,
132,Oba Heenayak Wage Hadu Wessak Aran,Deepika Priyadarshani Peries,91,,,
303,Oba Kamathi Nam,Billy Fernando,13,,,
133,Oba Kauda,Athula Adhikari ft. Samitha Mudunkotuwa,"22,54",,,
134,Oba Magemai,Ranidu Lankage,77,,,
135,Oba Nisa,Bathiya & Santhush,79,Oba Nisa (White Edition),,
136,Obage Mathaken,Shihan Mihiranga,62,,,Sajith V Chathuranga
137,Oya Magenam,Bathiya n Santhush ft Umara,79,,,
138,Paaren ,Sanuka Wickramasinghe,7,Rupantharana Film Song,,Manuranga Wijesekara
139,Pamawee Pipunu Mal Suwandai,Kasun Kalhara & Uresha Ravihari,5,,,
140,Pandama,Danith Dri,86,,,
248,Pawena kodu akase,Samitha Mudunkotuwa,22,,,
141,Pawena Loke,Cairo Rich ft. Aj Leon,100,Black Heart,,
142,Paya Ena Sanda Watha Manaram,Bathiya n Santhush,79,,,
143,Pera Dinayaka Ma Pem Kala Yuwathiya,W D Amaradeva,17,,,Sunil Sarath Perera
144,Perada Mawu Sina,Shihan Mihiranga,62,,,
145,Perawadanak,Sanuka Wickramasinghe,7,,,
146,Pini Binduwak Wennata Asai,Bathiya n Santhush,79,,,
147,Pinna Male Suda Anna Gihin Wada,Edward Jayakody,24,No Album,,
148,Pitasakwala Yaane,Cairo Rich,100,Black Heart,,
252,Piyawuna,Indrachapa Liyanage,14,,,
149,Prarthanawe,Radeesh Vandebona,115,,,
150,Prasiddiya Ko,Cairo Rich ft. Pazi,100,Black Heart,,
227,Prathihari,Supun Perera,37,,,
288,Prema sajjayanaya,Tharindu Damsara,47,,,
275,Premaye wil there ,Malani Bulathsinhala,,,,
285,Premayen mana ranjitha we,Nishshanka Diddeniya,,,,
222,Ra ahase,Billy,,,,
151,Ra Ahasin Wetena Bindu Bindu,Kasun Kalhara,5,,,
152,Ra Pura Payana Tharuka,Bathiya n Santhush,79,,,
153,Ra Thisse Awilla,BnS x RnL x Sureni x Shihan x Samitha x Daddy,"BnS, RnL, Sureni, Shihan, Samitha, Daddy",,,
251,Raata man,Romesh Sugathapala,49,,,
228,Radhawani,Supun Perera,37,,,
290,Radical paththini,Tharindu Damsara,47,,,
154,Rahase Handana Apa Hagum,Clerence Wijewardena & Neela Wickramasinghe,45 & 25,,,
235,Rahath himiwaru,"Ravi Jay, Dhyan Hewage",35 & ,,,
155,Rambari,Lahiru Perera x Anushka Udana,12,Sulag Kurullo [Episode 24],,
156,Ran Dakaththen,Centigradz,82,Soorya Mangalya,,Chathuranga Siripathi
157,Ran Kurahan Mala,Bathiya n Santhush,79,,,
242,Ran wan mal dam,Centigradz,82,,,
158,Rangume ,Umariya Sinhawansa,3,,,Manuranga Wijesekara
159,Reta Mang,Romesh ft Jithmi,49,,,
160,Ridena Noriddena,Sanka Dineth,78,,,
289,Robarosiyan,"Kalpana Kavindi, Tharindu Damsara",& 47,,,
161,Rodha Bandila,Kasun Kalhara,5,Thala (Original Motion Picture Soundtrack),,
162,Ron Podak,Athula Adhikari,54,,,
163,Rosa Kalpna ,Sanka Dineth,78,,,
164,Ru Sara,Bathiya & Santhush,79,Oba Nisa (White Edition),,
