user_id,age_group,gender,profession,hours_spending,musical_aspect,song_id
10206,45 - 54,Male,Engineer,0 - 1,The singer's voice,47
10207,18 - 24,Male,Engineer,1 - 3,The instrument being used,193
10208,18 - 24,Female,Student,0 - 1,The message of the song,145
10209,18 - 24,Female,Student,0 - 1,The message of the song,236
10208,18 - 24,Female,Student,0 - 1,The message of the song,72
10211,18 - 24,Female,Student,0 - 1,The message of the song,272
10208,18 - 24,Female,Student,0 - 1,The message of the song,61
10213,25 - 34,Male,Banker,1 - 3,The message of the song,131
10213,25 - 34,Male,Banker,1 - 3,The message of the song,136
10213,25 - 34,Male,Banker,1 - 3,The message of the song,273
10213,25 - 34,Male,Banker,1 - 3,The message of the song,100
10217,25 - 34,Male,Student,1-3,The singer's voice,140
10217,25 - 34,Male,Student,1-3,The singer's voice,174
10217,25 - 34,Male,Student,1-3,The singer's voice,179
10220,25 - 34,Male,Student,1-3,The singer's voice,178
10221,25 - 34,Male,Student,1-3,The singer's voice,274
10222,25 - 34,Male,Student,1-3,The singer's voice,139
10221,25 - 34,Male,Student,1-3,The singer's voice,15
10224,25 - 34,Male,Student,1-3,The singer's voice,275
10221,25 - 34,Male,Student,1-3,The singer's voice,96
10226,25 - 34,Male,Student,1-3,The singer's voice,276
10221,25 - 34,Male,Student,1-3,The singer's voice,31
10228,25 - 34,Male,Student,1-3,The singer's voice,277
10229,25 - 34,Male,Student,1-3,The singer's voice,199
10230,25 - 34,Male,Student,1-3,The singer's voice,278
10229,25 - 34,Male,Student,1-3,The singer's voice,145
10232,25 - 34,Male,Student,1-3,The singer's voice,175
10229,25 - 34,Male,Student,1-3,The singer's voice,127
10234,25 - 34,Male,Student,1-3,The singer's voice,102
10229,25 - 34,Male,Student,1-3,The singer's voice,279
10236,25 - 34,Male,Student,1-3,The singer's voice,22
10236,25 - 34,Male,Student,1-3,The singer's voice,35
10236,25 - 34,Male,Student,1-3,The singer's voice,75
10239,25 - 34,Male,Student,1-3,The singer's voice,280
10240,25 - 34,Male,Student,1-3,The singer's voice,281
10240,25 - 34,Male,Student,1-3,The singer's voice,77
10242,25 - 34,Male,Student,1-3,The singer's voice,282
10243,25 - 34,Male,Student,1-3,The singer's voice,26
10244,18 - 24,Female,Student,0 - 1,Music,140
10245,18 - 24,Female,Student,0 - 1,The singer's voice,52
10245,18 - 24,Female,Student,0 - 1,The singer's voice,259
10245,18 - 24,Female,Student,0 - 1,The singer's voice,25
10248,18 - 24,Female,Student,0 - 1,The singer's voice,32
10249,18 - 24,Female,Undergraduate,1 - 3,The message of the song,81
10250,25 - 34,Male,Software Developer,0 - 1,Music,211
10251,25 - 34,Male,Software Developer,0 - 1,Music,217
10251,25 - 34,Male,Software Developer,0 - 1,Music,61
10251,25 - 34,Male,Software Developer,0 - 1,Music,9
10251,25 - 34,Male,Software Developer,0 - 1,Music,208
10255,25 - 34,Male,Software Developer,0 - 1,Music,207
10256,25 - 34,Male,Software Developer,0 - 1,Music,204
10257,18 - 24,Female,Student,1 - 3,The singer's voice,283
10258,18 - 24,Female,Student,1 - 3,The singer's voice,140
10259,18 - 24,Female,Student,1 - 3,The singer's voice,284
10260,25 - 34,Female,Student,1 - 3,The singer's voice,127
10261,25 - 34,Female,Engineer,0 - 1,The message of the song,221
10261,25 - 34,Female,Engineer,0 - 1,The message of the song,42
10261,25 - 34,Female,Engineer,0 - 1,The message of the song,43
10264,25 - 34,Female,Engineer,0 - 1,The message of the song,47
10265,25 - 34,Female,Engineer,0 - 1,The message of the song,285
10266,25 - 34,Female,Engineer,0 - 1,The message of the song,286
10265,25 - 34,Female,Engineer,0 - 1,The message of the song,1
10268,25 - 34,Female,Engineer,0 - 1,The message of the song,14
10265,25 - 34,Female,Engineer,0 - 1,The message of the song,264
10270,18 - 24,Female,Medical student,3 - 5,The message of the song,227
10271,18 - 24,Female,Medical student,3 - 5,The message of the song,287
10270,18 - 24,Female,Medical student,3 - 5,The message of the song,288
10270,18 - 24,Female,Medical student,3 - 5,The message of the song,289
10274,18 - 24,Female,Medical student,3 - 5,The message of the song,267
10275,18 - 24,Female,Medical student,3 - 5,The message of the song,290
10276,18 - 24,Female,Medical student,3 - 5,The message of the song,287
10270,18 - 24,Female,Medical student,3 - 5,The message of the song,284
10278,18 - 24,Female,Medical student,3 - 5,The message of the song,175
10278,18 - 24,Female,Medical student,3 - 5,The message of the song,219
10280,18 - 24,Female,Student,0 - 1,The singer's voice,174
10281,18 - 24,Female,Student,0 - 1,The singer's voice,175
10282,18 - 24,Female,Student,0 - 1,The singer's voice,155
10281,18 - 24,Female,Student,0 - 1,The singer's voice,57
10284,18 - 24,Female,Student,0 - 1,The singer's voice,118
10281,18 - 24,Female,Student,0 - 1,The singer's voice,201
10286,18 - 24,Male,Student,0 - 1,Music,51
10287,18 - 24,Female,Student,1 - 3,Music,16
10288,25 - 34,Male,student,0 - 1,The singer's voice,114
10288,18 - 24,Male,Student,0 - 1,The singer's voice,194
10290,18 - 24,Female,Surveyor,0 - 1,Music,76
10291,25 - 34,Female,Beautician,0 - 1,The singer's voice,52
10292,25 - 34,Female,Beautician,0 - 1,The singer's voice,291
10291,25 - 34,Female,Beautician,0 - 1,The singer's voice,292
10294,25 - 34,Female,Beautician,0 - 1,The singer's voice,127
10291,25 - 34,Female,Beautician,0 - 1,The singer's voice,110
10296,18 - 24,Male,University student,0 - 1,It varies,126
10297,18 - 24,Male,University student,0 - 1,It varies,293
10296,18 - 24,Male,University student,0 - 1,It varies,125
10296,18 - 24,Male,University student,0 - 1,It varies,21
10300,18 - 24,Male,University student,0 - 1,It varies,22
10301,18 - 24,Male,University student,0 - 1,It varies,23
10302,18 - 24,Male,Business consultant,more than 5,The instrument being used,21
10303,18 - 24,Male,Student,0 - 1,Music,140
10304,18 - 24,Male,Student,0 - 1,Music,175
10303,18 - 24,Male,Student,0 - 1,Music,174
10303,18 - 24,Male,Student,0 - 1,Music,227
10303,18 - 24,Male,Student,0 - 1,Music,252
10308,18 - 24,Male,Student,0 - 1,Music,282
10309,18 - 24,Female,Student,0 - 1,Music,50
10310,18 - 24,Female,Student,0 - 1,Music,219
10309,18 - 24,Female,Student,0 - 1,Music,135
10312,18 - 24,Male,Student,1 - 3,The instrument being used,93
10313,18 - 24,Male,Student,1 - 3,The instrument being used,26
10314,18 - 24,Male,Student,1 - 3,The instrument being used,130
10315,18 - 24,Female,Student,0 - 1,The message of the song,287
10316,18 - 24,Female,Student,1 - 3,Music,97
10317,18 - 24,Female,Student,1 - 3,Music,311
10317,25 - 34,Female,Lecturer,1 - 3,The singer's voice,132
10319,25 - 34,Female,Lecturer,1 - 3,The singer's voice,45
10315,18 - 24,Female,Student,0 - 1,The message of the song,140
10315,18 - 24,Female,Student,0 - 1,The message of the song,55
