user_id,age_group,gender,profession,hours_spending,musical_aspect,listened_songs,song_id
10145,18 - 24,Female,Architecture student,2 - 3,The message of the song,Maha warusawata,89
10146,18 - 24,Female,Architecture student,2 - 3,The message of the song,Pera dinayaka ma,143
10147,18 - 24,Male,Student,0 - 1,Tempo/speed,Saragaye,179
10148,18 - 24,Male,Student,0 - 1,Tempo/speed,Sansaara Sihine,236
10149,18 - 24,Male,Student,0 - 1,Tempo/speed,Ai kale aadare,10
10150,18 - 24,Male,Student,0 - 1,Tempo/speed,Ru Sara,164
10151,18 - 24,Male,Student,0 - 1,Tempo/speed,Channa Kinnaravi,257
10152,18 - 24,Female,Student,2 - 3,The singer's voice,Sandaganawa,174
10153,18 - 24,Female,Undergraduate,3 - 5,Music,Duwe Nuba Mage Pranayai,39
10154,18 - 24,Male,Medical  student,0 - 1,Music,"Ananthaye 
",258
10155,18 - 24,Female,Student,0 - 1,Music,Landune,81
10156,18 - 24,Female,Student,0 - 1,Music,Daffodil mala,259
10157,18 - 24,Female,Student,0 - 1,Music,Liyathambara,83
10158,18 - 24,Female,Student,0 - 1,Music,Malak une Ai oba mata,93
10159,18 - 24,Female,Student,0 - 1,Music,Ran kurahan mala,157
10160,18 - 24,Male,Student,0 - 1,The message of the song,"Kuweni
",79
10161,25 - 34,Female,Accountant,0 - 1,The message of the song,Kuweniye,79
10162,25 - 34,Female,Accountant,0 - 1,The message of the song,sansaraye ma,260
10163,25 - 34,Female,Accountant,0 - 1,The message of the song,hitha mithuru sulanga,56
10164,25 - 34,Female,Accountant,0 - 1,The message of the song,sandaganawa,174
10165,25 - 34,Female,Accountant,0 - 1,The message of the song,thaala,71
10166,25 - 34,Female,Accountant,0 - 1,The message of the song,numbada bimba,261
10167,18 - 24,Male,Software engineer,3 - 5,The singer's voice,Nadi ganga tharanaye,114
10168,18 - 24,Male,Student,0 - 1,Music,Sharadha,186
10169,18 - 24,Male,Student,0 - 1,Music,prathihari,227
10170,18 - 24,Male,Student,0 - 1,Music,adaraya ayai,7
10171,18 - 24,Male,Student,0 - 1,Music,akikaru pem kathawak,237
10172,18 - 24,Male,Student,0 - 1,Music,math mage hitha,262
10173,18 - 24,Male,Student,0 - 1,Music,kuweni,79
10174,18 - 24,Male,Student,0 - 1,Music,nadagam geeya,113
10175,18 - 24,Male,Student,0 - 1,Music,thawa dawasak,263
10176,18 - 24,Female,University student,0 - 1,Music,Athsana,264
10177,18 - 24,Female,University student,0 - 1,Music,Sandanari,175
10178,18 - 24,Female,University student,0 - 1,Music,Perawadanak,145
10179,18 - 24,Female,University student,0 - 1,Music,nura wasanthe,127
10180,18 - 24,Female,University student,0 - 1,Music,hanthana sihine,47
10181,18 - 24,Female,University student,0 - 1,Music,aradhana,211
10182,18 - 24,Female,University student,0 - 1,Music,ahasin eha,265
10183,18 - 24,Female,University student,0 - 1,Music,kawulu piyanpath,73
